word,set,lexicore_level,oxford_level,newest_share,recent_share
abandoned,lexicore_only,B2,,,
abdominal,lexicore_only,C1,,,
aboard,lexicore_only,C1,,,
abound,lexicore_only,C1,,,
abruptly,lexicore_only,B2,,,
absorption,lexicore_only,C1,,,
abstraction,lexicore_only,C1,,,
acceleration,lexicore_only,C1,,,
accidental,lexicore_only,B1,,,
accord,lexicore_only,A2,,,
accustomed,lexicore_only,C1,,,
acidic,lexicore_only,C1,,,
acoustic,lexicore_only,C1,,,
acoustics,lexicore_only,C1,,,
acutely,lexicore_only,C1,,,
adaptive,lexicore_only,C1,,,
addict,lexicore_only,B2,,,
addicted,lexicore_only,B2,,,
adjoining,lexicore_only,C1,,,
adjustable,lexicore_only,C1,,,
admiration,lexicore_only,B1,,,
adopted,lexicore_only,B2,,,
adrenaline,lexicore_only,C1,,,
advantageous,lexicore_only,C1,,,
adventurous,lexicore_only,B2,,,
adversary,lexicore_only,C1,,,
advertiser,lexicore_only,C1,,,
advisor,lexicore_only,B1,,,
advisory,lexicore_only,C1,,,
aerosol,lexicore_only,C1,,,
aesthetically,lexicore_only,C1,,,
affirm,lexicore_only,C1,,,
aggregate,lexicore_only,C1,,,
agreeable,lexicore_only,C1,,,
airplane,lexicore_only,A1,,,
aisle,lexicore_only,A2,,,
algorithm,lexicore_only,C1,,,
alleviate,lexicore_only,C1,,,
altar,lexicore_only,B2,,,
alternate,lexicore_only,B2,,,
altitude,lexicore_only,B2,,,
am,lexicore_only,A1,,,
amino,lexicore_only,C1,,,
amongst,lexicore_only,B2,,,
ample,lexicore_only,B2,,,
amplification,lexicore_only,C1,,,
amplitude,lexicore_only,C1,,,
amusement,lexicore_only,A2,,,
an,lexicore_only,A1,,,
analytic,lexicore_only,C1,,,
anchored,lexicore_only,C1,,,
annum,lexicore_only,C1,,,
anthropology,lexicore_only,C1,,,
anti,lexicore_only,B1,,,
antibiotic,lexicore_only,C1,,,
antibody,lexicore_only,C1,,,
anticipation,lexicore_only,B2,,,
antics,lexicore_only,C1,,,
antiquated,lexicore_only,C1,,,
antique,lexicore_only,B2,,,
antiquity,lexicore_only,C1,,,
antitrust,lexicore_only,C1,,,
appalling,lexicore_only,C1,,,
appendix,lexicore_only,C1,,,
appliance,lexicore_only,C1,,,
apprehensive,lexicore_only,C1,,,
apprentice,lexicore_only,C1,,,
apprenticeship,lexicore_only,C1,,,
approximate,lexicore_only,B2,,,
approximation,lexicore_only,C1,,,
apron,lexicore_only,A1,,,
apt,lexicore_only,C1,,,
aqua,lexicore_only,C1,,,
aquarium,lexicore_only,C1,,,
